eventid,date,year,state,city,attack_type,weapon,target,group,fatalities,injuries,summary,latitude,longitude
197001300001,30-Jan-70,1970,Nebraska,South Sioux City,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown | . | ,Strikers,0,0,"1/30/1970: In a series of two incidents that were possibly related, unknown perpetrators detonated an explosive device at a building in South Sioux City, Nebraska, United States.  There were no casualties but the blast damaged the foundation of the building.  This attack was one of many instances of violence in South Sioux City during the Iowa Beef Packers strike.",42.479999,-96.413046
197001300002,30-Jan-70,1970,Nebraska,South Sioux City,Bombing/Explosion,Explosives/Bombs/Dynamite,Business | Retail/Grocery/Bakery | A & B Boat Shop,Strikers,0,0,"1/30/1970: In a series of two incidents that were possibly related, unknown perpetrators detonated an explosive device at the A & B Boat Shop in South Sioux City, Nebraska, United States.  There were no casualties but the blast caused $2,500 in damages.  This attack was one of many instances of violence in South Sioux City during the Iowa Beef Packers strike.",42.46634,-96.41405
197001300003,30-Jan-70,1970,Florida,Coral Gables,Facility/Infrastructure Attack,Incendiary,"Military | Military Recruiting Station/Academy | Army R.O.T.C., University of Miami",Student Radicals,0,0,"1/20/1970: Unknown perpetrators firebombed the premises of the Army R.O.T.C. at the University of Miami in Coral Gables, Florida, United States.  There were no casualties but an Army personal carrier was damaged.  Two firebombs did not explode.",25.720851,-80.277857
197001310002,31-Jan-70,1970,Colorado,Denver,Bombing/Explosion,Explosives/Bombs/Dynamite,"Police | Police Building (headquarters, station, school) | Police Band Building, Denver Colorado",Unknown,0,0,"1/31/1970: Unknown perpetrators bombed the Police Band Building in Denver, Colorado, United States.  There were no casualties but a restroom was damaged.",39.748783,-105.022136
197002010001,1-Feb-70,1970,Oregon,Portland,Facility/Infrastructure Attack,Incendiary,Government (General) | Government Building/Facility/Office | Selective Service office Local Board No. 28 in Portland Oregon,Left-Wing Militants,0,0,"2/1/1970: An unknown perpetrator broke into the Northeast Oregon building in Portland, Oregon, United States, which housed a Selective Service office and set fire to draft records.  About two hundred and fifty files were destroyed causing $4,189 in damage.",45.511795,-122.675629
197002010002,1-Feb-70,1970,Illinois,Cairo,Armed Assault,Firearms,"Police | Police Building (headquarters, station, school) | Illinois State Police in the Pyramid Courts housing project",Black Nationalists,0,0,"2/1/1970: Unknown perpetrators fired shots at an Illinois State Police Car that was patrolling the all-Black Pyramid Courts housing development in Cairo, Illinois, United States.  Three bullets struck the police car of Officers Harold Nelson and John Abercrombie.  Neither officer was injured but the windshield of vehicle car was shattered.",37.005105,-89.176269
197002020001,2-Feb-70,1970,New York,New York City,Facility/Infrastructure Attack,Incendiary,Business | Retail/Grocery/Bakery | Mays Department Store in Manhattan,Unknown,0,0,"2/2/1970: An incendiary device was discovered at Mays department store in Manhattan, New York, United States.  The device was dismantled before it inflicted any damage.  The next day, two incendiary devices were discovered at other department stores in New York City.",40.78306,-73.971249
197002030001,3-Feb-70,1970,New York,New York City,Facility/Infrastructure Attack,Incendiary,Business | Retail/Grocery/Bakery | Alexander's Department Store in the Bronx,Unknown,0,0,"2/3/1970: In a series of related attacks, an incendiary device was discovered and dismantled at Alexander's Department Store in the Bronx, New York, United States.",40.844782,-73.864827
197002030002,3-Feb-70,1970,New York,New York City,Facility/Infrastructure Attack,Incendiary,Business | Retail/Grocery/Bakery | Alexander's Department Store in Manhattan,Unknown,0,0,"2/3/1970: In a series of related attacks, an incendiary device was ignited at Alexander's Department Store in Manhattan, New York, United States.  The device was immediately doused with water and did not cause any damage.",40.78306,-73.971249
197002040001,4-Feb-70,1970,Ohio,Akron,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property | Vehicles/Transportation | ,Strikers,0,0,"2/4/1970: In an attack suspected of being connected with the Iowa Beef Packer's Strike, a dynamite bomb exploded near a parked car in Akron, Ohio, United States.  There were no casualties and the car sustained only minor damages.",41.084195,-81.514059
197002060001,6-Feb-70,1970,Colorado,Denver,Bombing/Explosion,Explosives/Bombs/Dynamite,Transportation | Bus (excluding tourists) | Denver City School Buses,Black Nationalists,0,0,"2/6/1970: Unknown anti-desegregationists detonated at least twelve dynamite bombs damaging thirty-nine vehicles, most of them school buses, in Denver, Colorado, United States.  There were no casualties.",39.74001,-104.992259
197002060002,6-Feb-70,1970,Washington,Seattle,Bombing/Explosion,Explosives/Bombs/Dynamite,Government (General) | Politician or Political Party Movement/Meeting/Rally | Fred Dore,White Extremists,0,0,"2/6/1970: Suspected White Racists detonated a bomb at the house of State Senator Fred Dore in Seattle, Washington, United States.  There were no casualties, but the house sustained major damages.  Dore was a White sympathizer of African American causes.",47.608758,-122.329439
197002060003,6-Feb-70,1970,Washington,Seattle,Bombing/Explosion,Explosives/Bombs/Dynamite,Religious Figures/Institutions | Place of Worship | ,White Extremists,0,0,"2/6/1970: Unknown perpetrators detonated a bomb at a synagogue in Seattle, Washington, United States.  There were no casualties but the building as well as surrounding residences sustained minor damage.   During this time period, there were numerous bombings in the Seattle area.",47.60356,-122.329439
197002060007,6-Feb-70,1970,Massachusetts,Boston,Facility/Infrastructure Attack,Incendiary,"Military | Military Recruiting Station/Academy | R.O.T.C. office, Boston University",Student Radicals,0,0,"2/6/1970: Unknown perpetrators firebombed an R.O.T.C. office at Boston University in Boston, Massachusetts, United States.  There were no casualties but the resulting fire damaged the office.",42.3505,-71.105399
197002070003,7-Feb-70,1970,Wisconsin,Whitewater,Facility/Infrastructure Attack,Incendiary,"Educational Institution | School/University/Educational Building | Old Mail Hall, Wisconsin State College",Student Radicals,0,0,"2/7/1970: Unknown perpetrators set a fire in Old Mail Hall at Wisconsin State College in Whitewater, Wisconsin, United States.  There were no casualties but the building sustained an estimated $1,000,000 in damages.",42.838355,-88.743224
197002080001,8-Feb-70,1970,New York,New York City,Bombing/Explosion,Explosives/Bombs/Dynamite,Business | Multinational Corporation | Queens General Electric Service Center,Armed Revolutionary Independence Movement (MIRA),0,0,"2/8/1970: In a series of related events, the Armed Revolutionary Independence Movement (MIRA) claimed credit for bombing the General Electric Service Center in Queens, New York, United States.  There were no casualties but the building sustains minor damages.",40.751212,-73.903649
197002080002,8-Feb-70,1970,New York,New York City,Bombing/Explosion,Explosives/Bombs/Dynamite,Business | Multinational Corporation | Brooklyn General Electric Service Center,Armed Revolutionary Independence Movement (MIRA),0,0,"2/8/1970: In a series of related events, the Armed Revolutionary Independence Movement (MIRA) claimed credit for bombing the General Electric Service Center in Brooklyn, New York, United States.  There are no casualties but the building sustains minor damages.",40.678178,-73.944158
197002090003,9-Feb-70,1970,New York,New York City,Bombing/Explosion,Explosives/Bombs/Dynamite,Business | Multinational Corporation | General Electric Headquarters,Armed Revolutionary Independence Movement (MIRA),0,0,"2/9/1970: In a series of related events, a member of the Armed Revolutionary Independence Movement (MIRA) was suspected of placing a bomb at the General Electric Headquarters in Manhattan, New York, United States.   The bomb was discovered and subsequently removed.",40.78306,-73.971249
197002090004,9-Feb-70,1970,Ohio,Batavia,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property | Named Civilian | Leslie Jewel,Strikers,0,0,"2/9/1970: Unknown perpetrators in Batavia, Ohio, United States, bombed two cars belonging to Leslie Jewel, an employee of General Electric that was not part of the union.  The automobiles were damaged, but there were no casualties.  There had been a recent labor strike at the nearby General Electric Evendale plant.",39.07859,-84.179414
197002110001,11-Feb-70,1970,Michigan,Ypsilanti,Facility/Infrastructure Attack,Incendiary,Educational Institution | School/University/Educational Building | ,Student Radicals,0,0,"2/11/1970: Unknown perpetrators threw a firebomb into a building at Washtenaw Community College in Ypsilanti, Michigan, United States.  There were no casualties, but the buildings sustained an estimated $2,500 in damages.",42.263414,-83.665281
197002130001,13-Feb-70,1970,California,Berkeley,Bombing/Explosion,Explosives/Bombs/Dynamite,"Police | Police Building (headquarters, station, school) | Police parking lot",Unknown,0,7,,37.869885,-122.270539
197002150001,15-Feb-70,1970,New York,New York City,Bombing/Explosion,Explosives/Bombs/Dynamite,"Business | Bank/Commerce | Chase Manhattan Bank, East Village Branch",Left-Wing Militants,0,0,"7/15/1970: Unknown perpetrators bombed the Chase Manhattan Bank in Manhattan, New York, United States.  There were no casualties, however, the glass doors of the building and windows were shattered.",40.78306,-73.971249
197002150002,15-Feb-70,1970,Oregon,Eugene,Facility/Infrastructure Attack,Incendiary,"Military | Military Recruiting Station/Academy | R.O.T.C. storage area, University of Oregon",Student Radicals,0,1,"2/15/1970: Unknown perpetrators set fire to a building housing an R.O.T.C. storage area at the University of Oregon in Eugene, Oregon, United States.  One fireman was injured fighting the blaze and the men's physical education building sustained an estimated $350,000 in damages.  The incident took place a week after the university voted to retain the R.O.T.C. program.",44.04483,-123.072606
197002160001,16-Feb-70,1970,California,San Francisco,Bombing/Explosion,Explosives/Bombs/Dynamite,"Police | Police Building (headquarters, station, school) | police station",Unknown,1,0,,37.777125,-122.419644
197002160002,16-Feb-70,1970,California,Berkeley,Bombing/Explosion,Explosives/Bombs/Dynamite,Business | Retail/Grocery/Bakery | department store,Unknown,0,0,,37.869885,-122.270539
197002160004,16-Feb-70,1970,California,San Francisco,Armed Assault,Firearms,Police | Police Security Forces/Officers | San Francisco Police Officers,Left-Wing Militants,0,0,"2/16/1970: Four hours after a San Francisco Police Station was bombed in California, United States, a sniper took aim at three police officers.  However, police fired at the sniper before he could get a shot off.  The sniper and a companion fled the scene before being apprehended.",37.775471,-122.403717
197002170001,17-Feb-70,1970,California,Oakland,Bombing/Explosion,Explosives/Bombs/Dynamite,Business | Construction | Walter Boysen Paint Company,Unknown,0,0,"2/17/1970: A day after bombings in San Francisco and Berkeley, twenty-four sticks of dynamite were discovered at Walter Boysen Paint Company in Oakland, California, United States.  The bombs never detonated.",37.805065,-122.273024
197002170002,17-Feb-70,1970,Maryland,Buckeystown,Bombing/Explosion,Explosives/Bombs/Dynamite,Utilities | Electricity | Power supply of the Frederick Maryland area,Unknown,0,0,"2/17/1970: Unknown perpetrators bombed a power pole in Buckeystown, Maryland, United States.  There were no casualties, however, as a result of the bombing, five-hundred homes and two industrial facilities lost power.  Windows were also shattered in buildings a quarter of a mile a way.",39.334825,-77.431653
197002170003,17-Feb-70,1970,Louisiana,Covington,Bombing/Explosion,Explosives/Bombs/Dynamite,Educational Institution | School/University/Educational Building | Covington High School,White Extremists,0,0,"2/17/1970: Unknown perpetrators detonated a bomb at Covington High School in Louisiana, United States.  There were no casualties but the building sustained minor damages.  The bombing took place six months before the school was integrated.",30.493919,-90.132512
197002170004,17-Feb-70,1970,Washington,Seattle,Bombing/Explosion,Explosives/Bombs/Dynamite,"Military | Military Barracks/Base/Headquarters/Checkpost | Armory, University of Washington",Student Radicals,0,0,"2/17/1970: Unknown perpetrators placed a gasoline bomb underneath the Armory at the University of Washington in Seattle, United States.  The bomb did not explode and was later discovered and removed.",47.655335,-122.30352
197002180002,18-Feb-70,1970,Ohio,Cleveland,Bombing/Explosion,Explosives/Bombs/Dynamite,Police | Police Security Forces/Officers | ,Black Nationalists,0,0,"2/18/1970: Amidst a period racial strife at Cuyahoga Community College in Cleveland, Ohio, United States, unknown perpetrators detonated a bomb that damaged a car of a police officer working as a security guard.",41.504365,-81.690459
197002180003,18-Feb-70,1970,California,Vallejo,Bombing/Explosion,Explosives/Bombs/Dynamite,Police | Police Security Forces/Officers | ,Black Nationalists,0,0,"2/18/1970: Booby trapped handgrenades were discovered wired to a car in the parking lot of the Vallejo Police Department in California, United States.  The device was deactivated.",38.10083,-122.254954
197002200001,20-Feb-70,1970,Connecticut,Hartford,Facility/Infrastructure Attack,Incendiary,Government (General) | Judge/Attorney/Court | United States District Court of Connecticut,Left-Wing Militants,0,0,"2/20/1970: Unknown perpetrators threw a Molotov cocktail at a Federal Building that housed a United States Courthouse in Hartford, Connecticut, United States.  There were no casualties but the building sustained an estimated $450 in damages.",41.763325,-72.674069
197002200002,20-Feb-70,1970,New York,New York City,Facility/Infrastructure Attack,Incendiary,Educational Institution | School/University/Educational Building | Columbia University International Law Library,Student Radicals,0,0,"2/20/1970: Unknown perpetrators ignited a firebomb at the Columbia University International Law Library in Manhattan, New York, United States.  There were no casualties but the building sustained slight damages.",40.807026,-73.960349
197002200003,20-Feb-70,1970,Washington,Seattle,Bombing/Explosion,Explosives/Bombs/Dynamite,"Educational Institution | School/University/Educational Building | Construction site of Architecture School, University of Washington",Student Radicals,0,0,"2/20/1970: Unknown perpetrators placed two dynamite bombs at the construction site of the School of Architecture at the University of Washington in Seattle, Washington, United States.  Only one of the two bombs exploded causing little damage.  There were no casualties.",47.655335,-122.30352
197002210003,21-Feb-70,1970,New York,New York City,Facility/Infrastructure Attack,Incendiary,"Police | Police Building (headquarters, station, school) | Charles Street Police Station",Left-Wing Militants,0,0,"2/21/1970: Unknown perpetrators threw a firebomb at a police car in front of the Charles Street Police Station in Greenwich, New York, United States.  Another bomb was thrown to the pavement  seventy-five feet away.  The attacks caused no damages or casualties.",40.733572,-74.002742
197002210004,21-Feb-70,1970,New York,New York City,Facility/Infrastructure Attack,Incendiary,Military | Military Recruiting Station/Academy | Army Recruiting Booth and Navy Recruiting Booth,Left-Wing Militants,0,0,"2/21/1970: Two Military Recruiting Stations in the vicinity of Brooklyn College were firebombed by unknown perpetrators in New York, United States.  There were no casualties but the recruiting stations sustained minor damages before the fire was extinguished.",40.678178,-73.944158
197002210005,21-Feb-70,1970,New York,New York City,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property | Named Civilian | Judge John Murtagh and family,"Weather Underground, Weathermen",0,0,"2/21/1970: The Weathermen claimed credit for bombing the residence of State Supreme Court Justice John Murtagh New York, United States.  The attack caused no casualties but the house sustained minor damages.  Judge Murtagh was presiding over a trial of thirteen Black Panther members at the time.    Anti-Vietnam war and pro-Black Panther graffiti was left at the scene of the attack.",40.78306,-73.971249
197002210006,21-Feb-70,1970,Colorado,Denver,Facility/Infrastructure Attack,Incendiary,Private Citizens & Property | Named Civilian | James C. Perrill,Black Nationalists,0,0,"2/21/1970: Unknown perpetrators threw a firebomb into the residence of James C. Perrill in Denver, Colorado, United States.  There were no casualties and it is unknown if the house was damaged.  The attack occurred during heightened racial tensions due to the integration of Denver City Schools and Perrill was  a conservative school board member.",39.74001,-104.992259
197002220001,22-Feb-70,1970,New York,Ithaca,Facility/Infrastructure Attack,Incendiary,Educational Institution | School/University/Educational Building | Dormitory housing Black Women's Collective,White Extremists,0,0,"2/22/1970: Unknown perpetrators threw kerosene flare pots at the Wari House Dormitory which housed the Black Women's Cooperative at Cornell University in Ithaca, New York, United States.  The incendiary tossed at the dormitory failed to ignite, but an incendiary thrown through the window of a car parked in front of the dormitory burst into flames and caused minor damages to the vehicle.  There were no casualties.",42.455233,-76.475847
197002220002,22-Feb-70,1970,Wisconsin,Prairie du Sac,Bombing/Explosion,Explosives/Bombs/Dynamite,"Utilities | Electricity | Wisconsin Power and Light Company substation, Prairie du Sac",New Year's Gang,0,0,"2/22/1970: Karl Armstrong, a member of the New Years Gang, attempted to bomb the Wisconsin Power and Light substation in Prairie du Sac, Wisconsin, United States.  Carrying thirteen sticks of dynamite he broke into the substation, but fled the scene when a night security guard arrived unexpectedly.  The substation supplied power to the Badger Ammunition Plant.",43.287052,-89.724361
197002230001,23-Feb-70,1970,Nebraska,South Sioux City,Bombing/Explosion,Explosives/Bombs/Dynamite,Utilities | Electricity | Power Transmission Pole in the Dakota City/Sioux City area,Strikers,0,0,"2/23/1970: In a series of related attacks, unknown perpetrators bombed four separate power transmission poles in the Dakota City and Sioux City areas in Nebraska, United States.  There were no casualties and none of the dynamite blasts broke off any of the poles.   These attacks were one of many instances of violence in South Sioux City during the Iowa Beef Packers strike.",42.47031,-96.413949
197002230005,23-Feb-70,1970,Arizona,Tucson,Bombing/Explosion,Explosives/Bombs/Dynamite,"Military | Military Barracks/Base/Headquarters/Checkpost | Selective Service Headquarters, Tucson Arizona.",Left-Wing Militants,0,0,"2/23/1970: Unknown perpetrators detonated a dynamite bomb in front of the Selective Service Headquarters in Tucson, Arizona, United States. There were no casualties, however, all of the windows of the building shattered.",32.222232,-110.925752
197002240002,24-Feb-70,1970,Colorado,Denver,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property | Named Civilian | Wilfred Keyes,White Extremists,0,0,"2/24/1970: Unknown perpetrators detonated a pipe bomb in front of the house of Wilfred Keyes in Denver, Colorado, United States.  There were no casualties, however, the front porch was destroyed and many windows were shattered.  Keyes was the lead plaintiff in a court case calling for the desegregation of Denver City Schools.",39.74001,-104.992259
197002240003,24-Feb-70,1970,Illinois,Champaign,Facility/Infrastructure Attack,Incendiary,"Military | Military Recruiting Station/Academy | R.O.T.C., University of Illinois",Student Radicals,0,0,"2/24/1970: Unknown perpetrators threw a Molotov cocktail into the Armory at the University of Illinois, Champaign-Urbana, United States.  There were no casualties but the firebomb caused $2,000 in damages.  The offices of the R.O.T.C. were located in the Armory",40.101952,-88.227161
197002270001,27-Feb-70,1970,Colorado,Boulder,Bombing/Explosion,Explosives/Bombs/Dynamite,Educational Institution | School/University/Educational Building | Institute of Behavioral Sciences,Student Radicals,0,0,"2/27/1970: Unknown perpetrators detonated a bomb in the Behavioral Sciences Building at the University of Colorado at Boulder in Colorado, United States.  There were no casualties but the building was damaged.",40.007581,-105.265942
197003010005,1-Mar-70,1970,Colorado,Boulder,Bombing/Explosion,Explosives/Bombs/Dynamite,Military | Military Recruiting Station/Academy | Air Force R.O.T.C. at University of Colorado,Student Radicals,0,0,"3/1/1970: Unknown perpetrators bombed the office of the Air Force R.O.T.C. at the University of Colorado in Boulder, Colorado, United States.  There were no casualties but the R.O.T.C. training facility sustained an estimated $2,000 in damages.",40.007581,-105.265942
197003010006,1-Mar-70,1970,Colorado,Colorado Springs,Facility/Infrastructure Attack,Incendiary,"Military | Military Barracks/Base/Headquarters/Checkpost | Selective Service Headquarters, Colorado Springs",Left-Wing Militants,0,0,"3/1/1970: Unknown perpetrators firebombed the headquarters of the Selective Service in Colorado Springs, Colorado, United States.  There were no casualties but the building sustained moderate damages.",38.83345,-104.821814
197003010008,1-Mar-70,1970,Colorado,Boulder,Bombing/Explosion,Explosives/Bombs/Dynamite,Police | Police Patrol (including vehicles and convoys) | Police Car,Left-Wing Militants,0,0,"3/2/1970: In a series of two incidents that were possibly related, unknown perpetrators bombed a city police car in Boulder, Colorado, United States.  There were no casualties but the car was damaged.",40.014986,-105.270546
197003020001,2-Mar-70,1970,Ohio,Cleveland,Facility/Infrastructure Attack,Incendiary,Private Citizens & Property | Named Civilian | Frank Schaeffer,Black Nationalists,0,0,"3/2/1970: Unknown perpetrators threw a Molotov cocktail into the house of Frank Schaeffer, the president of the Cleveland Fraternal Order of Police, in Cleveland, Ohio, United States.  There were no casualties but the fire caused an estimated $200 in damages.  Schaeffer had recently defended the actions of Cleveland Police Officers during the 1968 racial disorders.",41.504365,-81.690459
197003030002,3-Mar-70,1970,Colorado,Denver,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property | Vehicles/Transportation | Foreign cars painted red,Left-Wing Militants,0,0,"3/3/1970: Unknown perpetrators bombed a foreign-made car painted red in Denver, Colorado, United States.  There were no casualties but the car was damaged.",39.751039,-104.930496
197003030003,3-Mar-70,1970,Washington,Seattle,Bombing/Explosion,Explosives/Bombs/Dynamite,Government (General) | Government Building/Facility/Office | Post Office in Seattle's University District,Student Radicals,0,0,"3/3/1970: Four left wing radicals set off a dynamite bomb at a post office in Seattle, Washington, United States.  There were no casualties but the building and a vehicle were damaged.",47.655335,-122.30352
197003040001,4-Mar-70,1970,California,Oakland,Bombing/Explosion,Explosives/Bombs/Dynamite,Military | Military Barracks/Base/Headquarters/Checkpost | Oakland Army Base,Left-Wing Militants,0,0,"3/4/1970: Unknown perpetrators placed a time bomb in a Barracks at the Oakland Army Base in California, United States.  The bomb was subsequently discovered and disarmed. The base was used as a departing point for United States troops heading to Vietnam.",37.805065,-122.273024
